species,phylum,enzyme_class,genes_per_genome,distinct_enzymes
F23-B02 sp000431075,Firmicutes,SLH,6,1
F23-B02 sp001916715,Firmicutes,SLH,106,1
F23-B02 sp002472405,Firmicutes,SLH,138,1
Faecalibacterium prausnitzii_C,Firmicutes,SLH,3,1
Faecalibacterium prausnitzii_D,Firmicutes,SLH,2,1
Faecalibacterium prausnitzii_G,Firmicutes,SLH,1,1
Faecalibacterium prausnitzii_K,Firmicutes,SLH,3,1
Faecalibacterium sp002160895,Firmicutes,SLH,2,1
Flavonifractor plautii,Firmicutes,SLH,1,1
Flavonifractor sp002159175,Firmicutes,SLH,6,1
Flavonifractor sp002159455,Firmicutes,SLH,5,1
Flavonifractor sp002161085,Firmicutes,SLH,4,1
Flavonifractor sp002161215,Firmicutes,SLH,2,1
Flavonifractor sp900199495,Firmicutes,SLH,4,1
Fusicatenibacter saccharivorans,Firmicutes,SLH,3,1
GCA-900066135 sp900066135,Firmicutes,SLH,2,1
Gemmiger formicilis,Firmicutes,SLH,1,1
Gemmiger variabile,Firmicutes,SLH,4,1
Hungatella effluvii,Firmicutes,SLH,10,1
Intestinimonas butyriciproducens,Firmicutes,SLH,20,1
Intestinimonas massiliensis,Firmicutes,SLH,34,1
KLE1615 sp900066985,Firmicutes,SLH,4,1
Lachnospira sp900316325,Firmicutes,SLH,3,1
Lactobacillus amylovorus,Firmicutes,SLH,2,1
Lactobacillus delbrueckii_A,Firmicutes,SLH,1,1
Lactobacillus helveticus,Firmicutes,SLH,1,1
Lactobacillus_B salivarius,Firmicutes,SLH,2,1
Lactobacillus_H mucosae,Firmicutes,SLH,1,1
Lactobacillus_H reuteri,Firmicutes,SLH,4,1
Lawsonibacter sp000177015,Firmicutes,SLH,52,1
Lawsonibacter sp002161175,Firmicutes,SLH,1,1
Marseille-P3106 sp900169975,Firmicutes,SLH,4,1
Marvinbryantia sp900066075,Firmicutes,SLH,1,1
Megasphaera elsdenii,Firmicutes,SLH,116,1
Mitsuokella jalaludinii,Firmicutes,SLH,4,1
Mogibacterium sp002299625,Firmicutes,SLH,1,1
Negativibacillus massiliensis,Firmicutes,SLH,1,1
OEMS01 sp900199405,Firmicutes,SLH,2,1
Oscillibacter sp000403435,Firmicutes,SLH,1,1
Oscillibacter sp001916835,Firmicutes,SLH,31,1
Oscillibacter sp900066435,Firmicutes,SLH,153,1
Oscillibacter sp900115635,Firmicutes,SLH,4,1
PeH17 sp000435055,Firmicutes,SLH,2,1
Phil1 sp001940855,Firmicutes,SLH,3,1
Prevotella copri,Bacteroidota,SLH,1,1
Prevotella sp000434515,Bacteroidota,SLH,3,1
Prevotella sp000436915,Bacteroidota,SLH,2,1
Prevotella sp000834015,Bacteroidota,SLH,2,1
Prevotella sp002251295,Bacteroidota,SLH,1,1
Prevotella sp002251365,Bacteroidota,SLH,5,1
Prevotella sp002251385,Bacteroidota,SLH,7,1
Prevotella sp002251435,Bacteroidota,SLH,3,1
Prevotella sp002300055,Bacteroidota,SLH,5,1
Prevotella sp900313215,Bacteroidota,SLH,1,1
Prevotella sp900315955,Bacteroidota,SLH,2,1
Pseudoflavonifractor capillosus,Firmicutes,SLH,1,1
RC9 sp000433355,Bacteroidota,SLH,1,1
RC9 sp000434935,Bacteroidota,SLH,2,1
RC9 sp002472565,Bacteroidota,SLH,1,1
Romboutsia timonensis,Firmicutes,SLH,7,1
Roseburia hominis,Firmicutes,SLH,1,1
RUG114 sp900315615,Firmicutes,SLH,3,1
RUG666 sp900321185,Firmicutes,SLH,1,1
RUG806 sp900313475,Firmicutes,SLH,1,1
Ruminiclostridium_C sp000435295,Firmicutes,SLH,397,1
Ruminiclostridium_E siraeum,Firmicutes,SLH,1,1
Ruminococcus_A sp003011855,Firmicutes,SLH,4,1
Ruminococcus_C callidus,Firmicutes,SLH,1,1
Ruminococcus_D bicirculans,Firmicutes,SLH,1,1
Ruminococcus_D sp000434695,Firmicutes,SLH,1,1
Ruminococcus_E bromii_A,Firmicutes,SLH,25,1
Ruminococcus_E bromii_B,Firmicutes,SLH,2,1
Ruminococcus_E sp002491825,Firmicutes,SLH,2,1
Ruminococcus_E sp002493005,Firmicutes,SLH,1,1
Ruminococcus_E sp900100595,Firmicutes,SLH,4,1
Ruminococcus_E sp900314705,Firmicutes,SLH,1,1
Ruminococcus_E sp900315815,Firmicutes,SLH,4,1
Ruminococcus_E sp900317315,Firmicutes,SLH,1,1
Ruthenibacterium lactatiformans,Firmicutes,SLH,7,1
Sharpea azabuensis,Firmicutes,SLH,2,1
TF01-11 sp001414325,Firmicutes,SLH,1,1
Treponema_D berlinense,Other Phyla,SLH,1,1
Turicibacter sp001543345,Firmicutes,SLH,1,1
Tyzzerella sp900316755,Firmicutes,SLH,2,1
UBA1067 sp900320855,Other Phyla,SLH,1,1
UBA1081 sp900314355,Firmicutes,SLH,4,1
UBA11517 sp003522085,Firmicutes,SLH,2,1
UBA11524 sp000437595,Firmicutes,SLH,2,1
UBA1191 sp900066305,Firmicutes,SLH,1,1
UBA1206 sp000433115,Firmicutes,SLH,6,1
UBA1221 sp002350725,Other Phyla,SLH,1,1
UBA1234 sp002404755,Firmicutes,SLH,6,1
UBA1417 sp003531055,Firmicutes,SLH,1,1
UBA1425 sp002329365,Firmicutes,SLH,2,1
UBA1777 sp002431965,Firmicutes,SLH,3,1
UBA1777 sp003150355,Firmicutes,SLH,2,1
UBA1777 sp900319275,Firmicutes,SLH,1,1
UBA1777 sp900319635,Firmicutes,SLH,6,1
UBA1777 sp900319835,Firmicutes,SLH,4,1
UBA1777 sp900319935,Firmicutes,SLH,2,1
UBA2658 sp002841545,Firmicutes,SLH,7,1
UBA2856 sp900319065,Firmicutes,SLH,4,1
UBA2862 sp900317565,Firmicutes,SLH,1,1
UBA2883 sp002103075,Other Phyla,SLH,5,1
UBA3818 sp002369315,Firmicutes,SLH,15,1
UBA4644 sp002405755,Firmicutes,SLH,46,1
UBA4716 sp002438865,Firmicutes,SLH,5,1
UBA4717 sp002404395,Firmicutes,SLH,2,1
UBA6984 sp003258725,Other Phyla,SLH,3,1
UBA7173 sp001701135,Bacteroidota,SLH,1,1
UBA738 sp003522945,Firmicutes,SLH,2,1
UBA7702 sp002482535,Firmicutes,SLH,142,1
UBA791 sp002297005,Other Phyla,SLH,6,1
UBA9506 sp003506415,Firmicutes,SLH,2,1
Zag1 sp001765415,Other Phyla,SLH,23,1
Zag111 sp002102825,Other Phyla,SLH,20,1
Zag111 sp002103105,Other Phyla,SLH,12,1
Zag111 sp003258735,Other Phyla,SLH,11,1
,Firmicutes,SLH,11,1
Agathobacter rectale,Firmicutes,cohesin,1,1
Agathobacter sp900317585,Firmicutes,cohesin,1,1
Bacteroides fragilis,Bacteroidota,cohesin,1,1
Blautia_A wexlerae,Firmicutes,cohesin,2,1
CAG-1024 sp000432015,Firmicutes,cohesin,7,1
CAG-103 sp000432375,Firmicutes,cohesin,9,1
CAG-103 sp900317855,Firmicutes,cohesin,19,1
CAG-110 sp003525905,Firmicutes,cohesin,1,1
CAG-145 sp000435615,Firmicutes,cohesin,2,1
CAG-170 sp002404795,Firmicutes,cohesin,1,1
CAG-177 sp000431775,Firmicutes,cohesin,3,1
CAG-180 sp002361875,Firmicutes,cohesin,1,1
CAG-180 sp002490425,Firmicutes,cohesin,6,1
CAG-180 sp002490525,Firmicutes,cohesin,4,1
CAG-245 sp000435175,Firmicutes,cohesin,1,1
CAG-269 sp000431335,Firmicutes,cohesin,1,1
CAG-302 sp001916775,Firmicutes,cohesin,1,1
CAG-41 sp900066215,Firmicutes,cohesin,1,1
CAG-452 sp000434035,Firmicutes,cohesin,1,1
CAG-488 sp002449395,Firmicutes,cohesin,1,1
CAG-83 sp003487665,Firmicutes,cohesin,3,1
Clostridium_P perfringens,Firmicutes,cohesin,2,1
Collinsella bouchesdurhonensis,Actinobacteriota,cohesin,1,1
D5 sp900113995,Firmicutes,cohesin,1,1
Dorea sp000433215,Firmicutes,cohesin,1,1
ER4 sp900317525,Firmicutes,cohesin,1,1
Escherichia flexneri,Proteobacteria,cohesin,2,1
Eubacterium_E hallii_A,Firmicutes,cohesin,14,1
Eubacterium_F sp003491505,Firmicutes,cohesin,1,1
Eubacterium_Q sp900314445,Firmicutes,cohesin,1,1
F23-B02 sp000431075,Firmicutes,cohesin,2,1
Faecalicatena gnavus,Firmicutes,cohesin,1,1
HUN007 sp002315235,Firmicutes,cohesin,4,1
Intestinimonas butyriciproducens,Firmicutes,cohesin,1,1
Marseille-P3106 sp900169975,Firmicutes,cohesin,1,1
PeH17 sp000435055,Firmicutes,cohesin,8,1
PeH17 sp001940845,Firmicutes,cohesin,8,1
Prevotella sp002251295,Bacteroidota,cohesin,1,1
Prevotella sp002299275,Bacteroidota,cohesin,1,1
Romboutsia timonensis,Firmicutes,cohesin,5,1
Ruminiclostridium_E siraeum,Firmicutes,cohesin,1,1
Ruminococcus flavefaciens_G,Firmicutes,cohesin,2,1
Ruminococcus_C sp000433635,Firmicutes,cohesin,25,1
Ruminococcus_E sp900100595,Firmicutes,cohesin,1,1
Ruthenibacterium lactatiformans,Firmicutes,cohesin,1,1
UBA737 sp002431945,Firmicutes,cohesin,8,1
UBA738 sp003522945,Firmicutes,cohesin,1,1
14-2 sp000403255,Firmicutes,GT,1.75,4
14-2 sp001940225,Firmicutes,GT,13.1875,16
51-20 sp001917175,Proteobacteria,GT,5.28571428571429,14
992a sp001940245,Firmicutes,GT,44.5555555555556,18
Absiella innocuum,Firmicutes,GT,10.4545454545455,11
AC2028 sp000702085,Firmicutes,GT,2,4
AC2028 sp000702685,Firmicutes,GT,4.33333333333333,9
AC2028 sp002373975,Firmicutes,GT,1.75,4
Acetatifactor muris,Firmicutes,GT,21.5833333333333,12
Acetatifactor sp002314715,Firmicutes,GT,12.5,10
Acetatifactor sp003447295,Firmicutes,GT,2,2
Acetatifactor sp900066365,Firmicutes,GT,43.5,22
Acetatifactor sp900066565,Firmicutes,GT,6.66666666666667,9
Acetatifactor sp900320485,Firmicutes,GT,9.4,10
Acetitomaculum ruminis,Firmicutes,GT,9.54545454545454,11
Acetivibrio_A ethanolgignens,Firmicutes,GT,44.8235294117647,17
Acidaminococcus fermentans,Firmicutes,GT,18.8823529411765,17
Acidaminococcus sp000437815,Firmicutes,GT,1.33333333333333,3
Acidaminococcus timonensis,Firmicutes,GT,1.5,2
Acinetobacter lwoffii_B,Proteobacteria,GT,3.42857142857143,7
Acinetobacter sp002934695,Proteobacteria,GT,1.16666666666667,6
Actinobacillus_A minor,Proteobacteria,GT,2.30769230769231,13
Actinobacillus_A porcitonsillarum,Proteobacteria,GT,5.61538461538462,13
Actinobacillus_B seminis,Proteobacteria,GT,6.38461538461539,13
Actinomyces denticolens,Actinobacteriota,GT,5,9
Actinomyces urogenitalis,Actinobacteriota,GT,1,2
Acutalibacter sp000435395,Firmicutes,GT,73.7777777777778,9
Adlercreutzia caecimuris,Actinobacteriota,GT,2,2
Adlercreutzia equolifaciens,Actinobacteriota,GT,24.5,4
Adlercreutzia mucosicola,Actinobacteriota,GT,13.6,5
Aerococcus suis,Firmicutes,GT,19.7142857142857,7
Aerococcus urinaeequi,Firmicutes,GT,3.375,8
Agathobacter faecis,Firmicutes,GT,64.8518518518519,27
Agathobacter rectale,Firmicutes,GT,101.3,30
Agathobacter ruminis,Firmicutes,GT,9.77777777777778,9
Agathobacter sp000434275,Firmicutes,GT,152.653846153846,26
Agathobacter sp900316805,Firmicutes,GT,12.7,10
Agathobacter sp900317585,Firmicutes,GT,115.214285714286,28
Agathobaculum butyriciproducens,Firmicutes,GT,59.6666666666667,12
Akkermansia sp002358905,Other Phyla,GT,22.6153846153846,13
Alistipes finegoldii,Bacteroidota,GT,5.46153846153846,13
Alistipes obesi,Bacteroidota,GT,2,8
Alistipes onderdonkii,Bacteroidota,GT,9.35714285714286,14
Alistipes senegalensis,Bacteroidota,GT,10.8888888888889,18
Alistipes shahii,Bacteroidota,GT,54.2352941176471,17
Alistipes sp002362235,Bacteroidota,GT,3.63636363636364,11
Alistipes sp900290115,Bacteroidota,GT,1.66666666666667,3
Allisonella histaminiformans,Firmicutes,GT,6.41666666666667,12
An172 sp002160515,Firmicutes,GT,86.2,15
Anaerocolumna aminovalerica,Firmicutes,GT,1.4,5
Anaerocolumna sp000702945,Firmicutes,GT,4.25,4
Anaerofilum sp002160015,Firmicutes,GT,5.42857142857143,7
Anaerofustis stercorihominis,Firmicutes,GT,1.66666666666667,6
Anaeromassilibacillus sp002159845,Firmicutes,GT,3.85714285714286,7
Anaerorhabdus furcosa,Firmicutes,GT,84.5555555555556,9
Anaerosporobacter mobilis,Firmicutes,GT,3.5,6
Anaerostipes hadrus_A,Firmicutes,GT,1.42857142857143,7
Anaerostipes sp001940315,Firmicutes,GT,14.4545454545455,11
Anaerotignum sp000436415,Firmicutes,GT,9.875,8
Anaerotruncus rubiinfantis,Firmicutes,GT,1,1
Anaerotruncus sp900199635,Firmicutes,GT,2.6,5
Anaerovibrio lipolyticus,Firmicutes,GT,19.7692307692308,13
Anaerovibrio sp000622005,Firmicutes,GT,25.4285714285714,14
Anaerovibrio sp002100115,Firmicutes,GT,129.3125,16
Angelakisella massiliensis,Firmicutes,GT,3,7
Angelakisella sp003453215,Firmicutes,GT,97.4,15
Azobacteroides pseudotrichonymphae_A,Bacteroidota,GT,1.75,4
Bacillus subtilis,Firmicutes,GT,7.90909090909091,11
Bacillus_A cereus_AQ,Firmicutes,GT,1,1
Bacillus_A thuringiensis,Firmicutes,GT,1,2
Bacillus_A thuringiensis_J,Firmicutes,GT,1,1
Bacillus_A wiedmannii,Firmicutes,GT,1,1
Bacteroides bouchesdurhonensis,Bacteroidota,GT,3,2
Bacteroides congonensis,Bacteroidota,GT,1.5,4
Bacteroides eggerthii,Bacteroidota,GT,9,21
Bacteroides faecichinchillae,Bacteroidota,GT,26.6666666666667,15
Bacteroides faecis,Bacteroidota,GT,1,4
Bacteroides fluxus,Bacteroidota,GT,13.4210526315789,19
Bacteroides fragilis,Bacteroidota,GT,96.3103448275862,29
Bacteroides heparinolyticus,Bacteroidota,GT,19.7333333333333,15
Bacteroides massiliensis,Bacteroidota,GT,30,19
Bacteroides ndongoniae,Bacteroidota,GT,2.28571428571429,14
Bacteroides ovatus,Bacteroidota,GT,4,12
Bacteroides pyogenes,Bacteroidota,GT,41.3181818181818,22
Bacteroides salyersiae,Bacteroidota,GT,1,1
Bacteroides thetaiotaomicron,Bacteroidota,GT,21.0416666666667,24
Bacteroides togonis,Bacteroidota,GT,7.6,20
Bacteroides uniformis,Bacteroidota,GT,21.4545454545455,22
Bacteroides xylanisolvens,Bacteroidota,GT,3.92307692307692,13
Bacteroides_A barnesiae,Bacteroidota,GT,2.41666666666667,12
Bacteroides_A coprocola,Bacteroidota,GT,1.9375,16
Bacteroides_A coprophilus,Bacteroidota,GT,4.61538461538462,13
Bacteroides_A plebeius_A,Bacteroidota,GT,2.28571428571429,14
Bacteroides_A sp000434735,Bacteroidota,GT,4.23076923076923,13
Bacteroides_A sp002161565,Bacteroidota,GT,1,2
Bacteroides_A sp900066445,Bacteroidota,GT,2.66666666666667,3
Bacteroides_B dorei,Bacteroidota,GT,2.27272727272727,11
Bacteroides_B massiliensis,Bacteroidota,GT,3.11111111111111,18
Bacteroides_B sartorii,Bacteroidota,GT,1,1
Bacteroides_B vulgatus,Bacteroidota,GT,151.5625,32
Bacteroides_F pectinophilus,Firmicutes,GT,8.23076923076923,13
Bariatricus massiliensis,Firmicutes,GT,2,1
Bifidobacterium adolescentis,Actinobacteriota,GT,1.66666666666667,3
Bifidobacterium angulatum,Actinobacteriota,GT,2,3
Bifidobacterium animalis,Actinobacteriota,GT,68.2307692307692,13
Bifidobacterium bifidum,Actinobacteriota,GT,1.83333333333333,6
Bifidobacterium boum,Actinobacteriota,GT,100.083333333333,12
Bifidobacterium breve,Actinobacteriota,GT,3,5
Bifidobacterium choerinum,Actinobacteriota,GT,24.6666666666667,12
Bifidobacterium gallinarum,Actinobacteriota,GT,1.83333333333333,6
Bifidobacterium minimum,Actinobacteriota,GT,5,4
Bifidobacterium pseudolongum,Actinobacteriota,GT,92.1111111111111,9
Bifidobacterium pseudolongum_A,Actinobacteriota,GT,5.66666666666667,9
Bifidobacterium thermacidophilum,Actinobacteriota,GT,104.133333333333,15
Bilophila wadsworthia,Other Phyla,GT,20.1666666666667,18
Bittarella massiliensis,Firmicutes,GT,1.25,4
Blautia hansenii,Firmicutes,GT,12.2,5
Blautia sp000432195,Firmicutes,GT,6.5,14
Blautia sp000436935,Firmicutes,GT,46.4285714285714,14
Blautia sp001304935,Firmicutes,GT,2.66666666666667,3
Blautia sp900120295,Firmicutes,GT,4.25,8
Blautia_A hydrogenotrophica,Firmicutes,GT,5.71428571428571,7
Blautia_A massiliensis,Firmicutes,GT,123.666666666667,27
Blautia_A obeum,Firmicutes,GT,145.541666666667,24
Blautia_A obeum_B,Firmicutes,GT,7.42857142857143,7
Blautia_A schinkii,Firmicutes,GT,15.25,8
Blautia_A sp000285855,Firmicutes,GT,108,19
Blautia_A sp000433815,Firmicutes,GT,85.3333333333333,9
Blautia_A sp000436615,Firmicutes,GT,4,6
Blautia_A sp002159835,Firmicutes,GT,1.33333333333333,6
Blautia_A sp900066145,Firmicutes,GT,6,9
Blautia_A sp900066165,Firmicutes,GT,96.8333333333333,18
Blautia_A sp900066205,Firmicutes,GT,126,16
Blautia_A sp900066335,Firmicutes,GT,6,7
Blautia_A sp900066355,Firmicutes,GT,57,18
Blautia_A sp900066505,Firmicutes,GT,51.85,20
Blautia_A sp900120195,Firmicutes,GT,9.9,10
Blautia_A sp900316115,Firmicutes,GT,14,6
Blautia_A wexlerae,Firmicutes,GT,358.48275862069,29
Burkholderia ubonensis,Proteobacteria,GT,2.28571428571429,7
Butyricicoccus pullicaecorum,Firmicutes,GT,17.4,10
Butyricicoccus_A porcorum,Firmicutes,GT,112.157894736842,19
Butyricicoccus_A sp002395695,Firmicutes,GT,180.222222222222,9
Butyricimonas virosa,Bacteroidota,GT,30.3684210526316,19
Butyrivibrio fibrisolvens_C,Firmicutes,GT,14.2666666666667,15
Butyrivibrio hungatei,Firmicutes,GT,2.5,4
Butyrivibrio hungatei_B,Firmicutes,GT,3.16666666666667,6
Butyrivibrio proteoclasticus,Firmicutes,GT,1,2
Butyrivibrio sp000420845,Firmicutes,GT,3,6
Butyrivibrio sp000420865,Firmicutes,GT,1.16666666666667,6
Butyrivibrio sp000421405,Firmicutes,GT,2.5,8
Butyrivibrio sp000424265,Firmicutes,GT,2,4
Butyrivibrio sp000424545,Firmicutes,GT,1.4,5
Butyrivibrio sp000424585,Firmicutes,GT,5.92307692307692,13
Butyrivibrio sp000526935,Firmicutes,GT,1.5,4
Butyrivibrio sp002372465,Firmicutes,GT,1,1
Butyrivibrio sp900102515,Firmicutes,GT,3.28571428571429,7
Butyrivibrio sp900112195,Firmicutes,GT,1.5,4
Butyrivibrio_A crossotus,Firmicutes,GT,18.2307692307692,13
Butyrivibrio_A sp000431815,Firmicutes,GT,18,8
C941 sp002314465,Bacteroidota,GT,1,1
C941 sp002353885,Bacteroidota,GT,3,11
C941 sp002476625,Bacteroidota,GT,233.857142857143,14
C941 sp900314215,Bacteroidota,GT,4.63636363636364,11
C941 sp900318065,Bacteroidota,GT,3.18181818181818,11
C941 sp900318345,Bacteroidota,GT,1,1
C941 sp900318865,Bacteroidota,GT,3.44444444444444,9
C941 sp900321725,Bacteroidota,GT,84.35,20
Caecibacter massiliensis,Firmicutes,GT,1.57142857142857,7
CAG-1000 sp000434555,Firmicutes,GT,126.941176470588,17
CAG-1000 sp000436975,Firmicutes,GT,72.3333333333333,21
CAG-1024 sp000432015,Firmicutes,GT,166.266666666667,15
CAG-103 sp000432375,Firmicutes,GT,97.9375,16
CAG-103 sp900316745,Firmicutes,GT,9.2,10
CAG-103 sp900317855,Firmicutes,GT,121.470588235294,17
CAG-103 sp900317905,Firmicutes,GT,1.25,8
CAG-1031 sp000431215,Bacteroidota,GT,81.6,15
CAG-110 sp000434635,Firmicutes,GT,57.8235294117647,17
CAG-110 sp000435995,Firmicutes,GT,10.2857142857143,7
CAG-110 sp002362145,Firmicutes,GT,246.625,16
CAG-110 sp002362625,Firmicutes,GT,20.1538461538462,13
CAG-110 sp002372735,Firmicutes,GT,6.57142857142857,7
CAG-110 sp002436765,Firmicutes,GT,9.1,10
CAG-110 sp002437585,Firmicutes,GT,620.590909090909,22
CAG-110 sp002493965,Firmicutes,GT,99.875,16
CAG-110 sp003525905,Firmicutes,GT,119.166666666667,18
CAG-110 sp900315595,Firmicutes,GT,17.1,10
CAG-110 sp900316335,Firmicutes,GT,2.42857142857143,7
CAG-1138 sp000434675,Firmicutes,GT,12.6363636363636,11
CAG-115 sp000432175,Firmicutes,GT,1,1
CAG-115 sp002304735,Firmicutes,GT,10.5714285714286,7
CAG-115 sp002425305,Firmicutes,GT,4.625,8
CAG-115 sp002492075,Firmicutes,GT,5,8
CAG-115 sp003507295,Firmicutes,GT,2.57142857142857,7
CAG-115 sp003516865,Firmicutes,GT,2.83333333333333,6
CAG-115 sp003531585,Firmicutes,GT,11.2222222222222,9
CAG-1193 sp000436255,Firmicutes,GT,73.9090909090909,11
CAG-127 sp002404515,Firmicutes,GT,3.66666666666667,9
CAG-127 sp002431865,Firmicutes,GT,3.125,8
CAG-127 sp002476495,Firmicutes,GT,7.14285714285714,7
CAG-127 sp002493625,Firmicutes,GT,2.83333333333333,6
CAG-127 sp900319515,Firmicutes,GT,31.1666666666667,12
CAG-1427 sp000431675,Actinobacteriota,GT,9,4
CAG-1427 sp000434775,Actinobacteriota,GT,1,1
CAG-1427 sp000435675,Actinobacteriota,GT,1,1
CAG-1427 sp000436075,Actinobacteriota,GT,9.16666666666667,6
CAG-1435 sp000433775,Firmicutes,GT,2.125,8
CAG-1435 sp003537755,Firmicutes,GT,2.625,8
CAG-145 sp000435615,Firmicutes,GT,31.0769230769231,13
CAG-145 sp002320005,Firmicutes,GT,66.7647058823529,17
CAG-145 sp002439735,Firmicutes,GT,10,4
CAG-170 sp000432135,Firmicutes,GT,48.25,16
CAG-170 sp000436735,Firmicutes,GT,48.2666666666667,15
CAG-170 sp002298695,Firmicutes,GT,54.1111111111111,9
CAG-170 sp002404795,Firmicutes,GT,119.933333333333,15
CAG-170 sp003516765,Firmicutes,GT,65.1666666666667,18
CAG-177 sp000431775,Firmicutes,GT,51.3846153846154,13
CAG-177 sp002309055,Firmicutes,GT,1,3
CAG-177 sp002315935,Firmicutes,GT,2,8
CAG-177 sp002438685,Firmicutes,GT,1.33333333333333,3
CAG-177 sp002451755,Firmicutes,GT,2.75,8
CAG-177 sp003514385,Firmicutes,GT,176.944444444444,18
CAG-177 sp003538135,Firmicutes,GT,16.375,8
CAG-1782 sp002349735,Firmicutes,GT,8.875,8
CAG-180 sp000432435,Firmicutes,GT,8.46666666666667,15
CAG-180 sp002361875,Firmicutes,GT,13.5,6
CAG-180 sp002490425,Firmicutes,GT,30.6666666666667,9
CAG-180 sp002490525,Firmicutes,GT,131.777777777778,9
CAG-180 sp900315985,Firmicutes,GT,8.54545454545455,11
CAG-194 sp000432915,Firmicutes,GT,21.25,20
CAG-196 sp002102975,Other Phyla,GT,49.3333333333333,21
CAG-196 sp002309875,Other Phyla,GT,1,3
CAG-217 sp000436335,Firmicutes,GT,48.4666666666667,15
CAG-245 sp000434195,Firmicutes,GT,12.4,10
CAG-245 sp000435175,Firmicutes,GT,163.433333333333,30
CAG-267 sp001917135,Proteobacteria,GT,2.66666666666667,9
CAG-267 sp002353835,Proteobacteria,GT,11.5,2
CAG-269 sp000431335,Firmicutes,GT,187.730769230769,26
CAG-269 sp000435535,Firmicutes,GT,7.88888888888889,9
CAG-269 sp000437215,Firmicutes,GT,14.4166666666667,12
CAG-269 sp000438255,Firmicutes,GT,14.9333333333333,15
CAG-269 sp001915995,Firmicutes,GT,9.46666666666667,15
CAG-269 sp001916005,Firmicutes,GT,47.5454545454546,22
CAG-269 sp001916035,Firmicutes,GT,29.8,15
CAG-269 sp001916055,Firmicutes,GT,188.4,30
CAG-269 sp001916065,Firmicutes,GT,156.96,25
CAG-269 sp002372935,Firmicutes,GT,37.5384615384615,13
CAG-269 sp003518755,Firmicutes,GT,21.4285714285714,14
CAG-269 sp003525075,Firmicutes,GT,123.870967741936,31
CAG-272 sp000433515,Firmicutes,GT,20.7727272727273,22
CAG-273 sp000435755,Firmicutes,GT,5,8
CAG-273 sp000437855,Firmicutes,GT,23.6666666666667,15
CAG-273 sp000438355,Firmicutes,GT,4.55555555555556,9
CAG-273 sp003507395,Firmicutes,GT,79.4,25
CAG-273 sp003534295,Firmicutes,GT,91.9230769230769,13
CAG-279 sp000437795,Bacteroidota,GT,140.590909090909,22
CAG-288 sp000437395,Firmicutes,GT,5.71428571428571,7
CAG-302 sp000431795,Firmicutes,GT,55.3333333333333,24
CAG-302 sp001916775,Firmicutes,GT,127.052631578947,19
CAG-302 sp002375205,Firmicutes,GT,11.25,8
CAG-303 sp000437755,Firmicutes,GT,3,1
CAG-306 sp000980375,Other Phyla,GT,1,3
CAG-313 sp003539625,Firmicutes,GT,7.88888888888889,9
CAG-349 sp001940895,Firmicutes,GT,2.71428571428571,7
CAG-349 sp003539515,Firmicutes,GT,36.4375,16
CAG-353 sp900066885,Firmicutes,GT,4.25,8
CAG-354 sp001915925,Firmicutes,GT,1,1
CAG-390 sp000437015,Firmicutes,GT,4.83333333333333,6
CAG-390 sp003523225,Firmicutes,GT,82,15
CAG-41 sp001941225,Firmicutes,GT,11.6666666666667,9
CAG-41 sp900066215,Firmicutes,GT,16.3333333333333,12
CAG-417 sp000432835,Firmicutes,GT,20.6470588235294,17
CAG-417 sp002477275,Firmicutes,GT,18.7857142857143,14
CAG-433 sp000433675,Firmicutes,GT,54.88,25
CAG-448 sp000433415,Firmicutes,GT,1.44444444444444,9
CAG-448 sp002315325,Firmicutes,GT,1,5
CAG-448 sp003150135,Firmicutes,GT,12.375,8
CAG-45 sp000438375,Firmicutes,GT,1.5,2
CAG-45 sp002299665,Firmicutes,GT,235.115384615385,26
CAG-45 sp900066395,Firmicutes,GT,3,5
CAG-45 sp900315735,Firmicutes,GT,14.1875,16
CAG-451 sp000438295,Firmicutes,GT,54.9473684210526,19
CAG-452 sp000434035,Firmicutes,GT,82.6923076923077,26
CAG-460 sp000437315,Firmicutes,GT,59.6666666666667,21
CAG-460 sp000437355,Firmicutes,GT,12.4545454545455,11
CAG-460 sp000438075,Firmicutes,GT,9.2,10
CAG-460 sp002439555,Firmicutes,GT,8.88888888888889,9
CAG-465 sp000433135,Firmicutes,GT,25.4166666666667,12
CAG-465 sp000433335,Firmicutes,GT,6,7
CAG-465 sp000433755,Firmicutes,GT,21.9411764705882,17
CAG-475 sp000434435,Firmicutes,GT,5.78571428571429,14
CAG-475 sp002449145,Firmicutes,GT,1.2,5
CAG-475 sp002476605,Firmicutes,GT,6,6
CAG-484 sp900321895,Other Phyla,GT,15.8461538461538,13
CAG-485 sp000437495,Bacteroidota,GT,73.5263157894737,19
CAG-485 sp001701295,Bacteroidota,GT,37.4285714285714,14
CAG-485 sp002361155,Bacteroidota,GT,58.5,14
CAG-485 sp002361235,Bacteroidota,GT,3.42857142857143,14
CAG-485 sp002491165,Bacteroidota,GT,19.7777777777778,18
CAG-485 sp002493515,Bacteroidota,GT,2.46153846153846,13
CAG-485 sp900321585,Bacteroidota,GT,39.5833333333333,24
CAG-488 sp000434055,Firmicutes,GT,136.5,14
CAG-488 sp000434915,Firmicutes,GT,6.875,8
CAG-488 sp002449395,Firmicutes,GT,131,9
CAG-488 sp003486665,Firmicutes,GT,4,6
